cluster,clu_label,metric,metric_label,n_year,corr_levels,corr_diff,amp_mean,oc_mean,is_replaced
0,인건비형,wealth_gini,사회복지(지니),9,0.8783709064666686,-0.49728808424763943,0.3025894949387507,0.6024444444444444,False
0,인건비형,life_expectancy,보건(기대수명),10,0.7734099017086391,-0.2118544395005954,0.27656573773374354,83.01510800000001,False
0,인건비형,patent_apps_total,과학기술(특허출원),10,0.8230703995488907,0.022846458934210223,0.27656573773374354,521236.8,True
0,인건비형,industry_production_index,산업(생산지수),11,0.9648585263619008,0.4499396363945962,0.28391023936280874,104.14545454545454,False
0,인건비형,foreign_tourists_total,문화관광(외국인관광),10,-0.28477846648035116,0.2876848527933814,0.27656573773374354,11074.6,True
0,인건비형,private_edu_hours,교육(사교육시간),11,0.9362207539462809,0.579602452637762,0.28391023936280874,6.074910969320521,False
0,인건비형,housing_supply,국토(주택공급),10,0.9704634525731315,0.047108592745855354,0.27656573773374354,1068.2789166666666,False
0,인건비형,fiscal_indep_natl,일반행정(재정자립),11,-0.7396289997605352,-0.19551876519591668,0.28391023936280874,50.71818181818182,True
0,인건비형,farm_income,농림수산(농가소득),10,0.9549008484300129,0.3497596078659332,0.27656573773374354,48907.92743492879,False
0,인건비형,traffic_deaths,교통(사망자),10,-0.9540253408822724,0.07735387610352087,0.27656573773374354,3403.2,False
0,인건비형,ghg_total,환경(온실가스),9,-0.27949004857546433,0.6328049722666285,0.2671914325601424,736931.84,False
0,인건비형,broadband_per_100,통신(광대역가입),11,0.9564714721677818,-0.035903636326993706,0.28391023936280874,43.836363636363636,True
0,인건비형,oda_total,통일외교(ODA),10,0.8833914683987009,0.23910366341344189,0.27656573773374354,2621.6,False
0,인건비형,crime_occurrence,공공질서(범죄발생),10,-0.8050017764570113,-0.3960804803421035,0.27656573773374354,1616953.8,False
0,인건비형,defense_op_margin,국방(영업이익률),9,0.6679068591714932,0.37200406635766,0.2671914325601424,4.288888888888888,False
1,자산취득형,wealth_gini,사회복지(지니),9,0.7384751798592839,-0.38822519245390275,0.36917192602580207,0.6024444444444444,False
1,자산취득형,life_expectancy,보건(기대수명),10,0.604628902197746,-0.12283099048294126,0.3392605923770661,83.01510800000001,False
1,자산취득형,patent_apps_total,과학기술(특허출원),10,0.5059028654188765,-0.5846519417517961,0.3392605923770661,521236.8,True
1,자산취득형,industry_production_index,산업(생산지수),11,0.918636383656042,0.5493658426003616,0.35038415887850943,104.14545454545454,False
1,자산취득형,foreign_tourists_total,문화관광(외국인관광),10,0.16668432284041848,0.918020960736023,0.3392605923770661,11074.6,True
1,자산취득형,private_edu_hours,교육(사교육시간),11,0.9131677891551134,0.5946078995029691,0.35038415887850943,6.074910969320521,False
